JBL	1206	0.484200	0.515800	0.838300
JCI	1206	0.478400	0.521600	0.830000
JCP	1206	0.514100	0.485900	0.837500
JDSU	1205	0.495400	0.504600	0.834900
JEC	1206	0.490900	0.509100	0.846600
JNJ	1206	0.485100	0.514900	0.830000
JNPR	1205	0.507100	0.492900	0.829900
JOY	1012	0.483200	0.516800	0.826100
JPM	1206	0.505000	0.495000	0.833300
JWN	1206	0.479300	0.520700	0.833300
KEY	1206	0.476800	0.523200	0.831700
KLAC	1205	0.486300	0.513700	0.824100
KMB	1206	0.449400	0.550600	0.829200
KMX	1012	0.475300	0.524700	0.835000
KO	1206	0.466800	0.533200	0.812600
KR	1206	0.470100	0.529900	0.830000
KSS	1206	0.510800	0.489200	0.840000
K	1206	0.476800	0.523200	0.829200
LEG	1206	0.466800	0.533200	0.822600
LEN	1206	0.506600	0.493400	0.838300
LH	1206	0.468500	0.531500	0.839100
LIFE	1035	0.486000	0.514000	0.818400
LLL	1206	0.489200	0.510800	0.823400
LLTC	1205	0.497100	0.502900	0.824100
LLY	1206	0.453600	0.546400	0.844100
LMT	1206	0.493400	0.506600	0.820100
LM	1206	0.488400	0.511600	0.828400
LNC	1206	0.483400	0.516600	0.828400
LO	1129	0.465000	0.535000	0.833500
LOW	1206	0.492500	0.507500	0.840000
LRCX	1012	0.499000	0.501000	0.822100
LSI	1206	0.485900	0.514100	0.837500
LTD	1206	0.477600	0.522400	0.830000
L	1130	0.484100	0.515900	0.828300
LUK	1206	0.487600	0.512400	0.811800
LUV	1206	0.479300	0.520700	0.827500
MAR	1206	0.489200	0.510800	0.843300
MAS	1206	0.485900	0.514100	0.837500
MAT	1206	0.465200	0.534800	0.838300
MA	1107	0.467900	0.532100	0.836500
MCD	1206	0.446900	0.553100	0.831700
MCHP	1205	0.488000	0.512000	0.841500
MCK	1206	0.484200	0.515800	0.827500
MCO	1206	0.477600	0.522400	0.838300
MDLZ	1012	0.445700	0.554300	0.818200
MDT	1206	0.476800	0.523200	0.833300
MET	1206	0.499200	0.500800	0.826700
MHP	1180	0.483100	0.516900	0.828000
MJN	988	0.466600	0.533400	0.821900
MKC	1206	0.444400	0.555600	0.840000
MMC	1206	0.479300	0.520700	0.831700
MMM	1206	0.473500	0.526500	0.825900
MNST	1172	0.494900	0.505100	0.835300
MOLX	1205	0.463900	0.536100	0.852300
MON	1206	0.486700	0.513300	0.830000
MOS	1012	0.514800	0.485200	0.830000
MO	1206	0.441100	0.558900	0.831700
MRK	1206	0.490900	0.509100	0.816700
MRO	1206	0.480900	0.519100	0.829200
MSFT	1205	0.491300	0.508700	0.829000
MSI	1012	0.480200	0.519800	0.833000
MS	1206	0.510800	0.489200	0.832500
MTB	1206	0.487600	0.512400	0.836700
M	1206	0.474300	0.525700	0.845800
MUR	1206	0.485900	0.514100	0.832500
MU	1206	0.483400	0.516600	0.823400
MWV	1206	0.459400	0.540600	0.824200
MYL	1206	0.466800	0.533200	0.826700
NBL	1206	0.476000	0.524000	0.836700
NBR	1206	0.490900	0.509100	0.842500
NDAQ	1041	0.464900	0.535100	0.828000
NEE	1012	0.470400	0.529600	0.826100
NEM	1206	0.513300	0.486700	0.845800
NE	1206	0.498300	0.501700	0.835800
NFLX	1012	0.487200	0.512800	0.828100
NFX	1012	0.499000	0.501000	0.840900
NI	1206	0.460200	0.539800	0.852400
NKE	1206	0.481800	0.518200	0.835800
NOC	1206	0.471800	0.528200	0.833300
NOV	1206	0.481800	0.518200	0.820100
NRG	1012	0.492100	0.507900	0.848800
NSC	1206	0.478400	0.521600	0.848300
NTAP	1205	0.486300	0.513700	0.844800
NTRS	1205	0.492100	0.507900	0.834000
NUE	1206	0.483400	0.516600	0.829200
NU	1012	0.468400	0.531600	0.847800
NVDA	1205	0.496300	0.503700	0.825700
NWL	1206	0.463500	0.536500	0.839100
NWSA	1015	0.478800	0.521200	0.846300
NYX	1206	0.500800	0.499200	0.836700
OI	1012	0.490100	0.509900	0.822100
OKE	1012	0.456500	0.543500	0.838900
OMC	1206	0.471000	0.529000	0.836700
ORCL	1205	0.488000	0.512000	0.843200
ORLY	1012	0.464400	0.535600	0.824100
OXY	1206	0.485900	0.514100	0.832500
PAYX	1205	0.463900	0.536100	0.835700
PBCT	1041	0.470700	0.529300	0.837700
PBI	1206	0.488400	0.511600	0.840000
PCAR	1205	0.494600	0.505400	0.829900
PCG	1206	0.470100	0.529900	0.839100
PCLN	1012	0.458500	0.541500	0.835000
PCL	1206	0.470100	0.529900	0.838300
PCP	1206	0.503300	0.496700	0.843300
PCS	979	0.471900	0.528100	0.827400
PDCO	1205	0.483800	0.516200	0.828200
PEG	1080	0.496300	0.503700	0.845400
PEP	1206	0.495900	0.504100	0.833300
PETM	1012	0.475300	0.524700	0.826100
PFE	1206	0.499200	0.500800	0.830000
PFG	1206	0.471000	0.529000	0.835800
PGR	1206	0.473500	0.526500	0.832500
PG	1206	0.466800	0.533200	0.826700
PHM	1206	0.505000	0.495000	0.845800
PH	1206	0.495900	0.504100	0.835000
PKI	1206	0.489200	0.510800	0.841600
PLD	1206	0.474300	0.525700	0.835800
PLL	1206	0.485100	0.514900	0.827500
PM	1181	0.476700	0.523300	0.828100
PNC	1206	0.494200	0.505800	0.823400
PNR	1012	0.488100	0.511900	0.838900
PNW	1206	0.480100	0.519900	0.837500
POM	1206	0.474300	0.525700	0.832500
PPG	1206	0.470100	0.529900	0.836700
PPL	1206	0.480900	0.519100	0.819200
PRGO	1012	0.465400	0.534600	0.843900
PRU	1206	0.488400	0.511600	0.830000
PSA	1206	0.462700	0.537300	0.830000
PWR	1012	0.479200	0.520800	0.834000
PXD	1071	0.484600	0.515400	0.836600
PX	1206	0.479300	0.520700	0.832500
QCOM	1205	0.503700	0.496300	0.815800
RAI	1206	0.466000	0.534000	0.832500
RDC	1206	0.490000	0.510000	0.840800
RF	1206	0.475100	0.524900	0.826700
RHI	1206	0.492500	0.507500	0.837500
RHT	1012	0.472300	0.527700	0.840900
RL	1206	0.480900	0.519100	0.825900
ROK	1206	0.480100	0.519900	0.824200
ROP	1012	0.463400	0.536600	0.830000
ROST	1012	0.476300	0.523700	0.830000
RRC	1206	0.484200	0.515800	0.835000
RSG	1018	0.456800	0.543200	0.831000
RTN	1206	0.492500	0.507500	0.823400
R	1206	0.466800	0.533200	0.830800
SAI	1012	0.469400	0.530600	0.837900
